item_id,region,week,units_sold
SKU-1001,West,2025-06-02,1888
SKU-1001,West,2025-06-09,749
SKU-1001,West,2025-06-16,791
SKU-1001,West,2025-06-23,979
SKU-1001,West,2025-06-30,885
SKU-1001,West,2025-07-07,1039
SKU-1001,West,2025-07-14,1004
SKU-1001,West,2025-07-21,879
SKU-1001,West,2025-07-28,928
SKU-1001,West,2025-08-04,889
SKU-1001,West,2025-08-11,719
SKU-1001,West,2025-08-18,851
SKU-1001,West,2025-08-25,822
SKU-1001,West,2025-09-01,818
SKU-1001,West,2025-09-08,752
SKU-1001,West,2025-09-15,784
SKU-1001,West,2025-09-22,784
SKU-1001,West,2025-09-29,846
SKU-1001,West,2025-10-06,806
SKU-1001,West,2025-10-13,792
SKU-1001,West,2025-10-20,871
SKU-1001,West,2025-10-27,778
SKU-1001,West,2025-11-03,796
SKU-1001,West,2025-11-10,737
SKU-1001,West,2025-11-17,921
SKU-1001,West,2025-11-24,908
SKU-1001,West,2025-12-01,925
SKU-1001,West,2025-12-08,932
SKU-1001,West,2025-12-15,923
SKU-1001,West,2025-12-22,951
SKU-1001,West,2025-12-29,947
SKU-1001,West,2026-01-05,972
SKU-1001,West,2026-01-12,1011
SKU-1001,West,2026-01-19,2322
SKU-1001,West,2026-01-26,2151
SKU-1001,West,2026-02-02,2382
SKU-1001,West,2026-02-09,2291
SKU-1001,West,2026-02-16,872
SKU-1001,West,2026-02-23,844
SKU-1001,West,2026-03-02,1140
SKU-1001,West,2026-03-09,1219
SKU-1001,West,2026-03-16,1141
SKU-1001,West,2026-03-23,1161
SKU-1001,West,2026-03-30,1167
SKU-1001,West,2026-04-06,1194
SKU-1001,West,2026-04-13,1073
SKU-1001,West,2026-04-20,1168
SKU-1001,West,2026-04-27,1120
SKU-1001,West,2026-05-04,1235
SKU-1001,West,2026-05-11,1110
SKU-1001,West,2026-05-18,1192
SKU-1001,West,2026-05-25,1242
SKU-1001,West,2026-06-01,1101
SKU-1001,West,2026-06-08,1065
SKU-1001,West,2026-06-15,1099
SKU-1001,West,2026-06-22,1067
SKU-1001,West,2026-06-29,985
SKU-1002,East,2025-01-06,646
SKU-1002,East,2025-01-13,657
SKU-1002,East,2025-01-20,747
SKU-1002,East,2025-01-27,642
SKU-1002,East,2025-02-03,633
SKU-1002,East,2025-02-10,669
SKU-1002,East,2025-02-17,666
SKU-1002,East,2025-02-24,768
SKU-1002,East,2025-03-03,782
SKU-1002,East,2025-03-10,711
SKU-1002,East,2025-03-17,698
SKU-1002,East,2025-03-24,750
SKU-1002,East,2025-03-31,835
SKU-1002,East,2025-04-07,642
SKU-1002,East,2025-04-14,798
SKU-1002,East,2025-04-21,722
SKU-1002,East,2025-04-28,817
SKU-1002,East,2025-05-05,715
SKU-1002,East,2025-05-12,1367
SKU-1002,East,2025-05-19,1619
SKU-1002,East,2025-05-26,1431
SKU-1002,East,2025-06-02,1351
SKU-1002,East,2025-06-09,563
SKU-1002,East,2025-06-16,566
SKU-1002,East,2025-06-23,693
SKU-1002,East,2025-06-30,679
SKU-1002,East,2025-07-07,625
SKU-1002,East,2025-07-14,654
SKU-1002,East,2025-07-21,642
SKU-1002,East,2025-07-28,679
SKU-1002,East,2025-08-04,687
SKU-1002,East,2025-08-11,602
SKU-1002,East,2025-08-18,569
SKU-1002,East,2025-08-25,584
SKU-1002,East,2025-09-01,557
SKU-1002,East,2025-09-08,546
SKU-1002,East,2025-09-15,565
SKU-1002,East,2025-09-22,528
SKU-1002,East,2025-09-29,112
SKU-1002,East,2025-10-06,102
SKU-1002,East,2025-10-13,38
SKU-1002,East,2025-10-20,55
SKU-1002,East,2025-10-27,30
SKU-1002,East,2025-11-03,547
SKU-1002,East,2025-11-10,580
SKU-1002,East,2025-11-17,579
SKU-1002,East,2025-11-24,619
SKU-1002,East,2025-12-01,623
SKU-1002,East,2025-12-08,585
SKU-1002,East,2025-12-15,655
SKU-1002,East,2025-12-22,614
SKU-1002,East,2025-12-29,658
SKU-1002,East,2026-01-05,688
SKU-1002,East,2026-01-12,627
SKU-1002,East,2026-01-19,1386
SKU-1002,East,2026-01-26,1411
SKU-1002,East,2026-02-02,1774
SKU-1002,East,2026-02-09,1462
SKU-1002,East,2026-02-16,636
SKU-1002,East,2026-02-23,596
SKU-1002,East,2026-03-02,826
SKU-1002,East,2026-03-09,831
SKU-1002,East,2026-03-16,824
SKU-1002,East,2026-03-23,815
SKU-1002,East,2026-03-30,869
SKU-1002,East,2026-04-06,759
SKU-1002,East,2026-04-13,867
SKU-1002,East,2026-04-20,855
SKU-1002,East,2026-04-27,854
SKU-1002,East,2026-05-04,853
SKU-1002,East,2026-05-11,795
SKU-1002,East,2026-05-18,806
SKU-1002,East,2026-05-25,840
SKU-1002,East,2026-06-01,819
SKU-1002,East,2026-06-08,796
SKU-1002,East,2026-06-15,703
SKU-1002,East,2026-06-22,783
SKU-1002,East,2026-06-29,797
SKU-1002,West,2025-01-06,806
SKU-1002,West,2025-01-13,738
SKU-1002,West,2025-01-20,672
SKU-1002,West,2025-01-27,729
SKU-1002,West,2025-02-03,729
SKU-1002,West,2025-02-10,777
SKU-1002,West,2025-02-17,819
SKU-1002,West,2025-02-24,728
SKU-1002,West,2025-03-03,856
SKU-1002,West,2025-03-10,771
SKU-1002,West,2025-03-17,872
SKU-1002,West,2025-03-24,857
SKU-1002,West,2025-03-31,851
SKU-1002,West,2025-04-07,866
SKU-1002,West,2025-04-14,842
SKU-1002,West,2025-04-21,837
SKU-1002,West,2025-04-28,778
SKU-1002,West,2025-05-05,859
SKU-1002,West,2025-05-12,1909
SKU-1002,West,2025-05-19,1795
SKU-1002,West,2025-05-26,1601
SKU-1002,West,2025-06-02,1604
SKU-1002,West,2025-06-09,638
SKU-1002,West,2025-06-16,642
SKU-1002,West,2025-06-23,763
SKU-1002,West,2025-06-30,765
SKU-1002,West,2025-07-07,705
SKU-1002,West,2025-07-14,722
SKU-1002,West,2025-07-21,823
SKU-1002,West,2025-07-28,706
SKU-1002,West,2025-08-04,685
SKU-1002,West,2025-08-11,704
SKU-1002,West,2025-08-18,699
SKU-1002,West,2025-08-25,616
SKU-1002,West,2025-09-01,643
SKU-1002,West,2025-09-08,679
SKU-1002,West,2025-09-15,648
SKU-1002,West,2025-09-22,638
SKU-1002,West,2025-09-29,691
SKU-1002,West,2025-10-06,606
SKU-1002,West,2025-10-13,637
SKU-1002,West,2025-10-20,618
SKU-1002,West,2025-10-27,702
SKU-1002,West,2025-11-03,576
SKU-1002,West,2025-11-10,635
SKU-1002,West,2025-11-17,652
SKU-1002,West,2025-11-24,714
SKU-1002,West,2025-12-01,727
SKU-1002,West,2025-12-08,777
SKU-1002,West,2025-12-15,664
SKU-1002,West,2025-12-22,785
SKU-1002,West,2025-12-29,756
SKU-1002,West,2026-01-05,756
SKU-1002,West,2026-01-12,832
SKU-1002,West,2026-01-19,1867
SKU-1002,West,2026-01-26,1883
SKU-1002,West,2026-02-02,1874
SKU-1002,West,2026-02-09,2135
SKU-1002,West,2026-02-16,704
SKU-1002,West,2026-02-23,657
SKU-1002,West,2026-03-02,874
SKU-1002,West,2026-03-09,875
SKU-1002,West,2026-03-16,867
SKU-1002,West,2026-03-23,966
SKU-1002,West,2026-03-30,910
SKU-1002,West,2026-04-06,836
SKU-1002,West,2026-04-13,989
SKU-1002,West,2026-04-20,942
SKU-1002,West,2026-04-27,964
SKU-1002,West,2026-05-04,944
SKU-1002,West,2026-05-11,966
SKU-1002,West,2026-05-18,924
SKU-1002,West,2026-05-25,978
SKU-1002,West,2026-06-01,921
SKU-1002,West,2026-06-08,905
SKU-1002,West,2026-06-15,891
SKU-1002,West,2026-06-22,779
SKU-1002,West,2026-06-29,829
SKU-1003,East,2025-01-06,313
SKU-1003,East,2025-01-13,306
SKU-1003,East,2025-01-20,323
SKU-1003,East,2025-01-27,333
SKU-1003,East,2025-02-03,326
SKU-1003,East,2025-02-10,354
SKU-1003,East,2025-02-17,293
SKU-1003,East,2025-02-24,358
SKU-1003,East,2025-03-03,328
SKU-1003,East,2025-03-10,374
SKU-1003,East,2025-03-17,352
SKU-1003,East,2025-03-24,340
SKU-1003,East,2025-03-31,369
SKU-1003,East,2025-04-07,342
SKU-1003,East,2025-04-14,343
SKU-1003,East,2025-04-21,328
SKU-1003,East,2025-04-28,360
SKU-1003,East,2025-05-05,369
SKU-1003,East,2025-05-12,797
SKU-1003,East,2025-05-19,702
SKU-1003,East,2025-05-26,789
SKU-1003,East,2025-06-02,688
SKU-1003,East,2025-06-09,266
SKU-1003,East,2025-06-16,263
SKU-1003,East,2025-06-23,328
SKU-1003,East,2025-06-30,303
SKU-1003,East,2025-07-07,333
SKU-1003,East,2025-07-14,300
SKU-1003,East,2025-07-21,310
SKU-1003,East,2025-07-28,281
SKU-1003,East,2025-08-04,296
SKU-1003,East,2025-08-11,291
SKU-1003,East,2025-08-18,272
SKU-1003,East,2025-08-25,308
SKU-1003,East,2025-09-01,277
SKU-1003,East,2025-09-08,297
SKU-1003,East,2025-09-15,281
SKU-1003,East,2025-09-22,254
SKU-1003,East,2025-09-29,257
SKU-1003,East,2025-10-06,270
SKU-1003,East,2025-10-13,265
SKU-1003,East,2025-10-20,267
SKU-1003,East,2025-10-27,264
SKU-1003,East,2025-11-03,242
SKU-1003,East,2025-11-10,272
SKU-1003,East,2025-11-17,243
SKU-1003,East,2025-11-24,292
SKU-1003,East,2025-12-01,279
SKU-1003,East,2025-12-08,286
SKU-1003,East,2025-12-15,302
SKU-1003,East,2025-12-22,318
SKU-1003,East,2025-12-29,293
SKU-1003,East,2026-01-05,294
SKU-1003,East,2026-01-12,314
SKU-1003,East,2026-01-19,600
SKU-1003,East,2026-01-26,879
SKU-1003,East,2026-02-02,795
SKU-1003,East,2026-02-09,789
SKU-1003,East,2026-02-16,296
SKU-1003,East,2026-02-23,312
SKU-1003,East,2026-03-02,422
SKU-1003,East,2026-03-09,391
SKU-1003,East,2026-03-16,393
SKU-1003,East,2026-03-23,369
SKU-1003,East,2026-03-30,408
SKU-1003,East,2026-04-06,390
SKU-1003,East,2026-04-13,415
SKU-1003,East,2026-04-20,394
SKU-1003,East,2026-04-27,434
SKU-1003,East,2026-05-04,344
SKU-1003,East,2026-05-11,381
SKU-1003,East,2026-05-18,404
SKU-1003,East,2026-05-25,371
SKU-1003,East,2026-06-01,356
SKU-1003,East,2026-06-08,363
SKU-1003,East,2026-06-15,332
SKU-1003,East,2026-06-22,358
SKU-1003,East,2026-06-29,400
SKU-1003,West,2025-01-06,251
SKU-1003,West,2025-01-13,238
SKU-1003,West,2025-01-20,258
SKU-1003,West,2025-01-27,278
SKU-1003,West,2025-02-03,299
SKU-1003,West,2025-02-10,306
SKU-1003,West,2025-02-17,293
SKU-1003,West,2025-02-24,295
SKU-1003,West,2025-03-03,288
SKU-1003,West,2025-03-10,314
SKU-1003,West,2025-03-17,305
SKU-1003,West,2025-03-24,323
SKU-1003,West,2025-03-31,346
SKU-1003,West,2025-04-07,313
SKU-1003,West,2025-04-14,286
SKU-1003,West,2025-04-21,297
SKU-1003,West,2025-04-28,285
SKU-1003,West,2025-05-05,288
SKU-1003,West,2025-05-12,777
SKU-1003,West,2025-05-19,588
SKU-1003,West,2025-05-26,767
SKU-1003,West,2025-06-02,584
SKU-1003,West,2025-06-09,238
SKU-1003,West,2025-06-16,239
SKU-1003,West,2025-06-23,303
SKU-1003,West,2025-06-30,298
SKU-1003,West,2025-07-07,292
SKU-1003,West,2025-07-14,289
SKU-1003,West,2025-07-21,272
SKU-1003,West,2025-07-28,233
SKU-1003,West,2025-08-04,249
SKU-1003,West,2025-08-11,251
SKU-1003,West,2025-08-18,237
SKU-1003,West,2025-08-25,251
SKU-1003,West,2025-09-01,230
SKU-1003,West,2025-09-08,219
SKU-1003,West,2025-09-15,250
SKU-1003,West,2025-09-22,238
SKU-1003,West,2025-09-29,231
SKU-1003,West,2025-10-06,241
SKU-1003,West,2025-10-13,244
SKU-1003,West,2025-10-20,235
SKU-1003,West,2025-10-27,198
SKU-1003,West,2025-11-03,226
SKU-1003,West,2025-11-10,232
SKU-1003,West,2025-11-17,229
SKU-1003,West,2025-11-24,251
SKU-1003,West,2025-12-01,271
SKU-1003,West,2025-12-08,251
SKU-1003,West,2025-12-15,247
SKU-1003,West,2025-12-22,304
SKU-1003,West,2025-12-29,270
SKU-1003,West,2026-01-05,263
SKU-1003,West,2026-01-12,295
SKU-1003,West,2026-01-19,651
SKU-1003,West,2026-01-26,697
SKU-1003,West,2026-02-02,552
SKU-1003,West,2026-02-09,727
SKU-1003,West,2026-02-16,262
SKU-1003,West,2026-02-23,260
SKU-1003,West,2026-03-02,387
SKU-1003,West,2026-03-09,320
SKU-1003,West,2026-03-16,366
SKU-1003,West,2026-03-23,339
SKU-1003,West,2026-03-30,339
SKU-1003,West,2026-04-06,358
SKU-1003,West,2026-04-13,361
SKU-1003,West,2026-04-20,368
SKU-1003,West,2026-04-27,348
SKU-1003,West,2026-05-04,327
SKU-1003,West,2026-05-11,325
SKU-1003,West,2026-05-18,343
SKU-1003,West,2026-05-25,340
SKU-1003,West,2026-06-01,351
SKU-1003,West,2026-06-08,327
SKU-1003,West,2026-06-15,334
SKU-1003,West,2026-06-22,336
SKU-1003,West,2026-06-29,305
